PMID,Title,L1_Exact,L1_Fuzzy,L1_Strategies,L1_Unmatched,L1_Precision,L1_Recall,L1_F1,L2_Exact,L2_Fuzzy,L2_Strategies,L2_Unmatched,L2_Precision,L2_Recall,L2_F1,L3_Exact,L3_Fuzzy,L3_Strategies,L3_Unmatched,L3_Precision,L3_Recall,L3_F1,Semantic_Reasoning
37847102.0,Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.,disease,,,,,,,,,,musculoskeletal injury,,,,,patella lead (0.88),partial_word,,,,,"The health outcome in this paper falls under the category of musculoskeletal injuries, specifically focusing on patellar tendon injuries."
33580791.0,Associations between acute and long-term exposure to PM2.5 components and temperature with QT interval length in the VA Normative Aging Study.,,disease (0.95),contains,,,,,,,,QT interval,,,,,QT interval (0.95),contains,,,,,"The study focuses on the association between PM2.5 components and temperature with QT interval length, which is a specific measure of cardiovascular function."
33580791.0,Associations between acute and long-term exposure to PM2.5 components and temperature with QT interval length in the VA Normative Aging Study.,,disease (0.95),contains,,,,,,,,QT interval,,,,,QT interval (0.95),contains,,,,,"The study focuses on the association between PM2.5 components and temperature with QT interval length, a specific measure of cardiovascular function."
32561690.0,Biomarkers of aging and lung function in the normative aging study.,"biomarker, disease",,,,,,,lung function,,,,,,,,"FEV1/FVC (0.95), FEV1 (0.95), MMEF (0.95)","contains, contains, contains",,,,,"The health outcomes in this paper focus on biomarkers of aging and lung function, specifically looking at pulmonary function tests such as FEV1/FVC, FEV1, and MMEF."
22316111.0,High-fiber foods reduce periodontal disease progression in men aged 65 and older: the Veterans Affairs normative aging study/Dental Longitudinal Study.,disease,,,,,,,periodontal disease progression,,,,,,,periodontal disease progression,,,,,,,"The health outcome in this paper is related to the progression of periodontal disease, which falls under the category of disease outcomes."
27391696.0,Cognitive function and short-term exposure to residential air temperature: A repeated measures study based on spatiotemporal estimates of temperature.,disease,,,,,,,cognitive function,,,,,,,,,,,,,,The health outcome 'cognitive function' falls under the broad category of 'disease' in the hierarchy of health outcomes.
25238150.0,Associations between changes in city and address specific temperature and QT interval--the VA Normative Aging Study.,,disease (0.95),contains,,,,,,,,QT interval duration,,,,,,,QTc,,,,"The health outcomes extracted from the paper include cardiovascular disease at Layer 1, QT interval duration at Layer 2, and QTc as a detailed measure at Layer 3. QTc is a marker of ventricular repolarization, which is a specific outcome related to cardiovascular health."
34841262.0,"Short-term air pollution, cognitive performance, and nonsteroidal anti-inflammatory drug use in the Veterans Affairs Normative Aging Study.",disease,,,,,,,cognitive function,,,"Mini-Mental State Examination (MMSE) score, odds of low MMSE scores (≤25)",,,,,MMSE score (0.88),partial_word,,,,,"The health outcomes extracted from the paper fall under the 'disease' category in Layer 1. In Layer 2, the outcomes include cognitive function, MMSE score, and odds of low MMSE scores. The most specific outcome measure identified in Layer 3 is the global cognitive function score."
27236570.0,Distributional changes in gene-specific methylation associated with temperature.,,,,,,,,,,,,,,,,,,,,,,No health outcomes were mentioned in the paper content provided.
26721518.0,Do hassles and uplifts trajectories predict mortality? Longitudinal findings from the VA Normative Aging Study.,psychosocial,,,,,,,mortality,,,,,,,,,,,,,,"The health outcomes in this paper fall under the broad category of psychosocial outcomes, specifically focusing on mortality as the specific outcome."
24145859.0,Self-reported sleep and β-amyloid deposition in community-dwelling older adults.,disease,,,,,,,cognitive function,,,,,,,,,,β-amyloid deposition,,,,"The health outcome of interest in this paper is related to cognitive function, specifically the deposition of β-amyloid in community-dwelling older adults."
22207354.0,Aging and epigenetics: longitudinal changes in gene-specific DNA methylation.,biomarker,,,,,,,DNAmethylation,,,,,,,genes-450K,,,,,,,"The health outcome extracted from the paper is related to changes in gene-specific DNA methylation, specifically focusing on genes-450K which falls under the category of DNAmethylation biomarkers."
21600003.0,"Ambient pollutants, polymorphisms associated with microRNA processing and adhesion molecules: the Normative Aging Study.","disease, biomarker",,,,,,,"cardiovascular disease, inflammation biomarkers",intima-media thickness of the common carotid artery (0.88),partial_word,,,,,,,,"sICAM-1 levels, sVCAM-1 levels",,,,"The health outcomes extracted from the paper include cardiovascular disease and atherosclerosis at Layer 2, which are specific disease outcomes. Additionally, inflammation biomarkers were identified as a specific outcome type. The detailed measures extracted were sICAM-1 and sVCAM-1 levels, which ar"
24684821.0,Chemerin levels as predictor of acute coronary events: a case-control study nested within the veterans affairs normative aging study.,disease,,,,,,,cardiovascular disease,,,,,,,incident coronary heart disease,,,,,,,"The health outcome in this paper is related to cardiovascular disease, specifically incident coronary heart disease, which falls under the disease category in Layer 1."
26288820.0,Blood Telomere Length Attrition and Cancer Development in the Normative Aging Study Cohort.,disease,,,,,,,mortality,,,,,,,incident cancer,,,,,,,The health outcome 'incident cancer' falls under the broad category of 'disease' and specifically represents mortality due to cancer development.
32009007.0,"Mitochondria and aging in older individuals: an analysis of DNA methylation age metrics, leukocyte telomere length, and mitochondrial DNA copy number in the VA normative aging study.","biomarker, disease",,,,,,,"DNAmethylation, leukocyte telomere length",mitochondrial DNA (0.95),contains,,,,,,"mitochondrial DNA 8-OHdG lesions (0.88), mitochondrial DNA 8-OHdG lesions (0.88), mitochondrial DNA 8-OHdG lesions (0.88)","partial_word, partial_word, partial_word",,,,,"The health outcomes extracted from the paper include biomarkers (DNAmethylation, leukocyte telomere length, mitochondrial DNA copy number) and diseases (aging-related diseases). These outcomes are classified into 3 hierarchical layers based on their specificity and relevance to health."
25715694.0,Serum tocopherol levels and vitamin E intake are associated with lung function in the normative aging study.,,,,lung function,,,,,,,,,,,,,,,,,,"The health outcome in this paper is lung function, which falls under the broad category of respiratory disease."
25715694.0,Serum tocopherol levels and vitamin E intake are associated with lung function in the normative aging study.,,,,lung function,,,,,incident chronic kidney disease (0.88),partial_word,,,,,"FEV1/FVC, FEV1, MMEF",,,,,,,"The health outcome 'lung function' falls under the broad category of 'respiratory disease' and can be further specified by measures such as FEV1/FVC, FEV1, and MMEF."
21188491.0,"Repetitive element hypomethylation in blood leukocyte DNA and cancer incidence, prevalence, and mortality in elderly individuals: the Normative Aging Study.",disease,,,mortality,,,,,"incident cancer (0.88), incident cancer (0.88), mortality (0.95)","partial_word, partial_word, contains",,,,,,incident cancer (0.88),partial_word,,,,,"The outcomes extracted from the paper include various health conditions related to cancer, specifically cancer incidence, prevalence, and mortality. Lung cancer prevalence is a specific outcome measure within the broader category of cancer prevalence."
32832843.0,Age and mitochondrial DNA copy number influence the association between outdoor temperature and cognitive function: Insights from the VA Normative Aging Study.,disease,,,cognitive function,,,,cognitive function,mitochondrial DNA (0.95),contains,,,,,mitochondrial DNA copy number,global cognitive score (0.88),partial_word,,,,,"The health outcomes extracted from the paper include disease (specifically cognitive function) and a specific outcome related to mitochondrial DNA copy number, which influences the association between outdoor temperature and cognitive function."
25028775.0,Long-term effects of traffic particles on lung function decline in the elderly.,,,,lung function decline,,,,lung function,,,,,,,"FEV1/FVC, FEV1, MMEF",,,,,,,"The health outcome 'lung function decline' falls under the broad category of 'disease'. Specifically, it relates to the specific outcome type of 'lung function', which can be measured by parameters such as FEV1/FVC, FEV1, and MMEF."
24709766.0,Occupational determinants of cumulative lead exposure: analysis of bone lead among men in the VA normative aging study.,disease,,,,,,,"cardiovascular disease, mortality",,,,,,,incident coronary heart disease,,,,,,,"The health outcomes extracted from the paper include cardiovascular disease and mortality, with a specific outcome of incident coronary heart disease, which falls under the disease category in the hierarchical layers."
28070358.0,Cholesterol and depressive symptoms in older men across time.,psychosocial,,,,,,,,reactivity to health stressors (0.88),partial_word,,,,,,,,,,,,"The outcome 'depressive symptoms' falls under the broad category of psychosocial outcomes, which are related to mental health and well-being."
21296318.0,Relation between high-density lipoprotein cholesterol and survival to age 85 years in men (from the VA normative aging study).,disease,,,mortality,,,,cardiovascular disease,,,,,,,incident coronary heart disease,,,,,,,"The health outcome in this paper relates to cardiovascular disease, specifically incident coronary heart disease, which falls under the broader category of disease and mortality."
22407520.0,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,disease,,,,,,,cardiovascular disease,,,,,,,incident coronary heart disease,,,,,,,"The health outcome in this paper falls under the disease category, specifically cardiovascular disease, with a focus on incident coronary heart disease."
22407520.0,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,disease,,,,,,,cardiovascular disease,,,,,,,incident coronary heart disease,,,,,,,"The health outcome in this paper falls under the broad category of disease, specifically cardiovascular disease, with a specific measure of incident coronary heart disease."
20980452.0,Urinary 8-hydroxy-2'-deoxyguanosine as a biomarker of oxidative DNA damage induced by ambient pollution in the Normative Aging Study.,biomarker,,,,,,,oxidative DNA damage,,,,,,,,urinary lead (0.88),partial_word,,,,,"The health outcome in this paper falls under the broad category of biomarkers, specifically focusing on oxidative DNA damage measured through urinary 8-hydroxy-2'-deoxyguanosine."
24142987.0,Associations between arrhythmia episodes and temporally and spatially resolved black carbon and particulate matter in elderly patients.,disease,,,,,,,cardiovascular disease,,,,,,,incident coronary heart disease,,,,,,,"The paper focuses on the association between arrhythmia episodes and black carbon and particulate matter exposure in elderly patients, with a specific outcome measure of incident coronary heart disease, falling under the cardiovascular disease category."
22383587.0,Association between long-term exposure to traffic particles and blood pressure in the Veterans Administration Normative Aging Study.,disease,,,,,,,"cardiovascular disease, blood pressure",,,,,,,"diastolic blood pressure, systolic blood pressure",,,,,,,"The health outcomes extracted from the paper include cardiovascular disease and blood pressure, with specific measures of diastolic and systolic blood pressure."
23257623.0,Allergen sensitization is associated with increased DNA methylation in older men.,disease,,,,,,,DNAmethylation,,,,,,,genes-450K,,,,,,,"The health outcome in this paper is related to disease, specifically focusing on DNA methylation which is classified under DNAmethylation at the most detailed level of genes-450K."
31636367.0,Blood DNA methylation biomarkers of cumulative lead exposure in adults.,biomarker,,,,,,,DNAmethylation,,,,,,,genes-450K,"microRNA in extracellular vesicles (0.88), microRNA in extracellular vesicles (0.88)","partial_word, partial_word",,,,,"The health outcomes in this paper focus on biomarkers of cumulative lead exposure, specifically utilizing blood DNA methylation profiles as a measure. The outcomes are classified hierarchically based on the type of biomarker used, which is DNAmethylation, and the specific measures such as genes-450K"
